"Recipient","PDF Path","IPFS CID","GitHub Issue","Date Sent"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_450001_460000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/43","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_150001_155000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/44","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_815001_835000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/45","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_835001_855000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/46","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_Top1000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/47","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_875001_895000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/48","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_380001_395000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/49","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_490001_500000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/50","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_110001_115000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/51","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_855001_875000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/52","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_Next3_Round2_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/53","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_410001_420000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/54","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_430001_440000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/55","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_595001_615000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/56","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_470001_480000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/57","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_105001_110000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/58","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_Top1000_9_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/59","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_17001_19000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/60","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_360001_365000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/61","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Cover_Letter_CoreBitcoin_20250708.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/62","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_39001_41000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/63","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_320001_325000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/64","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Licensing_Notice_BitcoinExchangeAudit_202507_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/65","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_390001_400000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/66","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_145001_150000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/67","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_545001_595000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/68","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_000001_010000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/69","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_220001_225000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/70","2025-07-10"
"Unknown","/Users/manuelnieves/Desktop/Bitcoin_Notices_2025/Invoice_Batch_55001_60000_202507.pdf","TO_BE_ADDED","https://github.com/Manny27nyc/Licensing_Disputes/issues/71","2025-07-10"
